,City,Lat,Lng,Country,Date,Max Temp,Humidity,Cloudiness,Wind Speed
1,klaksvik,62.23,-6.59,FO,1566778781,51.8,100,100,17.22
2,bheramara,24.02,89,BD,1566778781,78.74,91,20,6.11
3,liuhe,42.28,125.73,CN,1566778781,67.4,87,50,8.32
4,fuxin,42.02,121.65,CN,1566778782,70.28,81,80,9.6
5,kurmanayevka,52.51,52.07,RU,1566778782,53.72,88,0,11.9
6,tepalcatepec,19.19,-102.85,MX,1566778782,73.34,94,87,3.02
7,uporovo,56.31,66.27,RU,1566778783,53.36,91,100,6.33
8,ornes,49.25,5.47,FR,1566778783,69.8,64,0,2.24
9,rock sound,24.9,-76.2,BS,1566778783,84.5,78,100,9.8
10,san carlos de bariloche,-41.13,-71.31,AR,1566778729,41,86,90,1.12
11,san narciso,15.02,120.08,PH,1566778784,80.6,88,40,1.12
12,formoso do araguaia,,,,{},,,,
13,danilov,58.19,40.17,RU,1566778784,42.8,100,0,3.56
14,constantine,36.36,6.61,DZ,1566778784,66.2,93,20,3.36
15,balezino,57.97,53.01,RU,1566778785,43.1,92,71,10.56
16,koroni,36.8,21.96,GR,1566778785,80.01,77,20,3.42
17,bad wildungen,51.12,9.13,DE,1566778786,69.01,82,47,3.36
18,las cruces,-33.5,-71.62,CL,1566778786,51.8,100,90,3.36
19,jinan,36.65,117.11,CN,1566778786,74.42,82,100,2.77
20,ahumada,,,,{},,,,
21,pine bluff,34.23,-92,US,1566778786,80.6,74,1,4.7
22,allonnes,47.97,0.16,FR,1566778787,71.6,68,0,4.7
23,lady lake,28.92,-81.92,US,1566778787,86,70,1,9.17
24,castle douglas,54.94,-3.92,GB,1566778787,61,93,0,1.01
25,partizanskoye,53.35,78.35,RU,1566778788,57.14,58,7,8.39
26,nortelandia,-14.45,-56.8,BR,1566778788,84.14,38,86,4.14
27,ifo,6.81,3.2,NG,1566778788,77,88,20,4.7
28,changchun,43.88,125.32,CN,1566778789,66.2,88,75,6.71
29,sungaipenuh,-2.08,101.38,ID,1566778789,71.9,92,99,1.19
30,saint-jean-port-joli,,,,{},,,,
31,corowa,-36,146.39,AU,1566778790,55.99,70,0,4.7
32,springfield,37.22,-93.29,US,1566778549,78.01,88,1,7.25
33,tumwater,47.01,-122.91,US,1566778790,77,43,40,6.78
34,koscierzyna,54.12,17.98,PL,1566778790,66,100,6,2.24
35,wexford,40.63,-80.06,US,1566778791,70,59,1,5.59
36,leirvik,59.78,5.5,NO,1566778791,62.01,87,76,11.41
37,timizart,36.8,4.25,DZ,1566778791,77.66,84,0,16.28
38,matamoros,25.87,-97.51,US,1566778791,89.6,70,1,11.41
39,serowe,-22.4,26.7,BW,1566778792,52.46,49,0,2.21
40,toamasina,-18.17,49.38,MG,1566778792,68,94,75,6.93
41,landsberg,51.53,12.16,DE,1566778793,73,68,0,8.05
42,ancona,41.04,-88.87,US,1566778793,75.2,57,40,5.26
43,kabalo,-6.05,26.92,CD,1566778793,75.86,51,37,4.43
44,sarkand,45.41,79.91,KZ,1566778793,59.84,41,0,2.24
45,minbu,20.18,94.88,MM,1566778794,73.7,92,75,2.8
46,ushuaia,-54.81,-68.31,AR,1566778724,42.8,60,40,12.75
47,warrington,53.39,-2.59,GB,1566778794,63,88,0,4.7
48,bayangol,48.91,106.09,MN,1566778794,51.74,81,66,3.2
49,moroto,2.53,34.66,UG,1566778795,72.62,60,75,3.91
50,wuzhou,23.48,111.3,CN,1566778795,74.96,97,100,11.54
51,leshukonskoye,64.9,45.76,RU,1566778795,42.02,97,82,3.76
52,pitkyaranta,61.57,31.48,RU,1566778795,58.76,79,100,21.23
53,livingston,40.8,-74.31,US,1566778679,73,64,1,9.17
54,nakhon phanom,17.4,104.79,LA,1566778796,75.68,94,99,2.06
55,lashma,54.93,41.14,RU,1566778796,48.5,96,16,3.67
56,rensvik,63.1,7.82,NO,1566778797,57.2,93,100,11.41
57,praia,-20.25,-43.81,BR,1566778797,66.2,59,0,8.05
58,verkhnyaya sinyachikha,57.98,61.67,RU,1566778797,48.86,98,38,6.91
59,bukachacha,52.99,116.91,RU,1566778797,55.34,84,100,2.37
60,la baneza,42.3,-5.9,ES,1566778798,64.99,87,100,8.05
61,trat,12.25,102.51,TH,1566778798,87.01,10,100,2.62
62,agha jari,,,,{},,,,
63,vasilsursk,56.13,46.01,RU,1566778799,45.62,97,16,5.08
64,mariestad,58.71,13.82,SE,1566778799,57.99,100,32,2.24
65,basavakalyan,17.88,76.95,IN,1566778799,71.72,89,84,10.45
66,kodinsk,58.6,99.18,RU,1566778800,53.36,95,100,7.43
67,muncar,-8.43,114.34,ID,1566778800,70.82,89,99,0.83
68,chenzhou,25.81,113.03,CN,1566778800,75.68,98,100,5.21
69,stepnogorsk,52.35,71.88,KZ,1566778800,62.36,53,0,8.37
70,hermanus,-34.42,19.24,ZA,1566778801,54,99,100,1.01
71,ashford,46.76,-122.02,US,1566778801,75.99,38,20,3.11
72,shirvan,,,,{},,,,
73,rajsamand,25.06,73.89,IN,1566778801,71,89,86,9.78
74,turtas,58.94,69.13,RU,1566778802,50.48,97,51,4.92
75,ligayan,4.65,119.47,PH,1566778802,82.7,73,63,5.3
76,warqla,,,,{},,,,
77,libreville,0.39,9.45,GA,1566778803,78.8,83,20,5.82
78,chokwe,,,,{},,,,
79,yorosso,12.35,-4.78,ML,1566778803,71.54,95,17,7.96
80,ravne,46.4,15.06,SI,1566778804,68,93,78,2.24
81,mtwara,-10.28,40.18,TZ,1566778804,71.6,94,20,10.29
82,maku,39.29,44.45,IR,1566778804,56.6,64,5,0.74
83,leticia,-4.21,-69.94,CO,1566778805,77,100,75,3.36
84,maningrida,-12.05,134.23,AU,1566778805,76.22,53,47,7.94
85,lyubech,51.7,30.66,UA,1566778805,58.22,88,0,5.48
86,valdosta,30.83,-83.28,US,1566778806,84.2,78,1,4.7
87,ossora,59.24,163.07,RU,1566778806,50.66,79,100,4.65
88,sinnar,19.85,74,IN,1566778806,70.1,94,100,9.1
89,bordighera,43.79,7.66,IT,1566778806,77,65,0,4.7
90,gayny,60.3,54.33,RU,1566778810,42.02,92,46,7.99
91,zhangye,38.94,100.46,CN,1566778810,62.72,52,54,5.95
92,aurillac,44.93,2.44,FR,1566778810,68,77,0,5.82
93,thika,-1.04,37.08,KE,1566778811,62.6,67,20,3.36
94,valjala,,,,{},,,,
95,petropavlovskoye,46.79,142.5,RU,1566778811,57.2,87,40,2.24
96,duminichi,53.93,35.11,RU,1566778812,51.74,94,51,3.58
97,limoux,43.05,2.22,FR,1566778812,75,68,0,3.36
98,dunhua,43.37,128.23,CN,1566778812,65.78,75,62,3.49
99,krasnyy kut,47.1,40.67,RU,1566778812,69.38,44,0,9.13
100,mooi river,,,,{},,,,
